,ccode,country,year,Total ,age 15-17,age 18-19,<20,>20,age 20-34,age 35-49
66,CUB,Cuba,2014.0,98.45616824875951,100.0,99.56963247185271,99.73131970697881,98.24570378125782,98.1109864327927,99.21421137224547
67,DJI,Djibouti,2006.0,92.33232771094144,100.0,95.70130930648118,96.28672843264452,92.59709537183302,93.54301251823951,88.56581371171647
68,DOM,Dominican Republic,2000.0,97.80525324001637,94.80271295297185,100.0,97.34518320721608,98.560213424542,98.76157512457392,95.94315386852301
69,DOM,Dominican Republic,2002.0,98.05996912340783,98.25231101788322,97.72352428623088,97.96075069303694,98.0894888189864,98.30608820227023,95.45051215007281
70,DOM,Dominican Republic,2007.0,98.96132596724037,99.0190251404823,98.91076293453517,98.96377687923321,98.96057985699088,98.87254627996546,99.80321958774525
71,DOM,Dominican Republic,2013.0,99.53089540753133,99.4068876740782,99.46832363768893,99.44057306738634,99.55783101556965,99.5454613731586,99.66182247820198
72,EGY,Egypt,2000.0,59.18667759069605,57.438635737832286,59.75160219668479,59.193174535593876,59.18590657241292,60.73447198921544,48.28320988508984
73,EGY,Egypt,2003.0,73.66672949489697,59.93916442111309,73.77169244547662,70.42252525498665,74.05245093477535,74.90683441261177,67.09147155999418
74,EGY,Egypt,2005.0,73.42747521736584,76.89613064259777,73.86352767761221,74.59842696500803,73.28222509892586,74.57480392060386,61.439462055023164
75,EGY,Egypt,2008.0,77.71359514477403,75.33509822815144,78.10058564023544,77.46900656417348,77.74301360331233,78.4448317856701,71.28882500790374
76,EGY,Egypt,2014.0,91.29188251751842,90.0217313910598,95.11574519184671,93.77958804033945,91.05550987075146,91.75797284779937,84.56329451377474
77,ETH,Ethiopia,2000.0,25.559161588553494,28.174272293901264,25.315212860914805,26.3210646916255,25.44188233630277,26.447697016489947,21.17029766403424
78,ETH,Ethiopia,2005.0,28.099029766316285,21.920852310878104,29.929724207238635,27.537623736996093,28.199554489371742,29.33487058207391,23.53805029900756
79,ETH,Ethiopia,2011.0,33.895217465576906,31.70039838268043,37.53294803029908,35.61054605240182,33.649777949923084,34.82756130692367,28.1601611840332
80,GAB,Gabon,2000.0,93.56402795728249,95.34336488077639,94.42493795249136,94.94043421042316,93.07214064172466,93.57830901321917,90.11905283122303
81,GAB,Gabon,2012.0,94.1730925894032,94.86824597353431,93.52255101165673,94.18886291713102,94.16922342175556,94.5676293194446,92.24947570202589
82,GMB,Gambia,2000.0,90.73409111491158,100.0,100.0,100.0,93.32801524535626,92.33342482093133,100.0
83,GMB,Gambia,2005.0,97.75624488757107,95.63637654468639,97.01624726088431,96.51860632187345,98.02626049675818,97.99540523012843,98.18071384497455
84,GMB,Gambia,2013.0,84.65936309672063,85.21490167566772,80.04171314813452,81.67013420303351,85.14087663026064,85.37362801991483,84.06312377907295
85,GEO,Georgia,2005.0,96.34711172765294,95.82395896798371,95.09916706617858,95.24751180237439,96.50538027380713,96.73400722429818,94.40057205397972
86,GHA,Ghana,2003.0,91.95800084832918,93.47059331613451,92.58999398055205,92.8655013671233,91.8370211552856,92.13470547488083,90.80524907649455
87,GHA,Ghana,2006.0,92.14708995690913,88.41828748262301,98.0315550753209,93.61074215884074,92.46483204149885,93.04767514611406,90.28493996520038
88,GHA,Ghana,2008.0,88.75895525724209,92.14554886165907,87.95206374071445,89.312700925851,88.69252455486826,89.40775508512266,85.63883676463516
89,GHA,Ghana,2011.0,96.35947012164972,100.0,96.05252318765312,97.12689966824507,95.97454172799861,96.78862946505193,93.77289750170063
90,GHA,Ghana,2014.0,96.86653052710783,98.13880933567712,96.21649878301073,97.02666192417016,96.84991716074036,97.17534981893769,95.66858506268059
91,GIN,Guinea,2005.0,82.07429656338546,85.2533743431245,88.59977940834163,86.92209877478324,80.91389775812407,81.98641634682645,77.26822504302218
92,GIN,Guinea,2012.0,85.31298728444499,84.29244393298616,88.58795642737114,86.62569963208267,84.97233872005808,86.04410320091061,80.53074208022971
93,GNB,Guinea-Bissau,2000.0,62.04707218315287,75.62891691174946,74.8202932921176,75.18591996868483,69.38872199641253,70.21566706849922,65.30228846477516
94,GNB,Guinea-Bissau,2006.0,77.91245829817798,72.47023799412995,82.34090233069043,78.51988199079297,78.68778878134006,79.01409153035742,76.74472768131359
95,GUY,Guyana,2000.0,80.86602626807296,0.0,0.0,0.0,0.0,0.0,0.0
96,GUY,Guyana,2006.0,81.39925913485683,79.33986741762693,76.98121122031185,78.04643345160058,82.18712384183466,82.82298740995166,77.79937586335672
97,GUY,Guyana,2009.0,90.57310494328574,92.09994187571839,88.29185633756978,89.79585857410423,90.82162487292874,91.70809334625501,86.4310781019244
98,HTI,Haiti,2000.0,78.03859039392992,85.79500277968796,78.86766561878413,81.45807960341324,77.3771996060353,78.40099838530564,73.69309944807134
99,HTI,Haiti,2005.0,84.16947340660363,84.62818028714854,83.9669462611056,84.22122051205989,84.16049183415652,85.52786561761079,78.63423355066315
100,HTI,Haiti,2012.0,89.92413467970339,90.76765585573897,86.22003397226874,88.05120701610797,90.25679668418826,91.80753107677727,83.83740363577753
101,HND,Honduras,2005.0,91.79383789104489,92.33526503744213,90.319477809104,91.22604988085887,91.94761837160112,92.45183474115105,88.78312961324922
102,HND,Honduras,2011.0,96.58629662880517,95.88767654489808,96.09822395272228,95.9961459715478,96.76785643176471,97.10999950236344,94.40489195075644
103,IND,India,2005.0,74.49812842136282,74.0290523615883,78.284440240113,76.90526394231381,73.90397913158716,75.18112269413729,51.17445751415845
104,IDN,Indonesia,2002.0,91.15890806151906,84.78557409075307,88.30015937109884,87.26934635840689,91.62571380305134,92.48356574917385,87.44815265808576
105,IDN,Indonesia,2007.0,93.7403326524718,90.68199550861831,92.01769798272844,91.61649300897514,93.96152127046426,94.88762932772565,89.29956383942279
106,IDN,Indonesia,2012.0,96.0940347550028,96.01722505910861,93.28555444677237,94.11104134684199,96.3080971533456,96.54474427323339,95.20052138706153
107,IRQ,Iraq,2000.0,75.86732289009723,74.8566912213096,74.89679751869195,74.88527552839747,76.43944678751214,77.74421597998469,70.82248965572757
108,IRQ,Iraq,2006.0,83.78418970874652,88.87330146250217,86.15135379876492,87.34199443726362,83.33615439469781,83.7553986260127,81.44619957218255
109,IRQ,Iraq,2011.0,77.72074545377826,77.28132849862479,76.28053786016092,76.52977127068226,74.44961934829225,75.2887278089027,71.22624157534393
