[T30.],Tourist/visitor arrivals and tourism expenditure,,,,,,,
Region/Country/Area,,Year,Series,Tourism arrivals series type,Tourism arrivals series type footnote,Value,Footnotes,Source
28,Antigua and Barbuda,2010,Tourism expenditure (millions of US dollars),,,298,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
28,Antigua and Barbuda,2015,Tourism expenditure (millions of US dollars),,,805,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
28,Antigua and Barbuda,2016,Tourism expenditure (millions of US dollars),,,804,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
28,Antigua and Barbuda,2017,Tourism expenditure (millions of US dollars),,,774,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
32,Argentina,1995,Tourist/visitor arrivals (thousands),TF,,"2,289",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
32,Argentina,2005,Tourist/visitor arrivals (thousands),TF,,"3,823",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
32,Argentina,2010,Tourist/visitor arrivals (thousands),TF,,"5,325",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
32,Argentina,2015,Tourist/visitor arrivals (thousands),TF,,"5,736",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
32,Argentina,2016,Tourist/visitor arrivals (thousands),TF,,"6,655",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
32,Argentina,2017,Tourist/visitor arrivals (thousands),TF,,"6,720",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
32,Argentina,1995,Tourism expenditure (millions of US dollars),,,"2,550",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
32,Argentina,2005,Tourism expenditure (millions of US dollars),,,"3,209",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
32,Argentina,2010,Tourism expenditure (millions of US dollars),,,"5,605",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
32,Argentina,2015,Tourism expenditure (millions of US dollars),,,"5,441",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
32,Argentina,2016,Tourism expenditure (millions of US dollars),,,"5,186",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
32,Argentina,2017,Tourism expenditure (millions of US dollars),,,"5,514",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
51,Armenia,1995,Tourist/visitor arrivals (thousands),TF,,12,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
51,Armenia,2005,Tourist/visitor arrivals (thousands),TF,,319,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
51,Armenia,2010,Tourist/visitor arrivals (thousands),TF,,684,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
51,Armenia,2015,Tourist/visitor arrivals (thousands),TF,,"1,192",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
51,Armenia,2016,Tourist/visitor arrivals (thousands),TF,,"1,260",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
51,Armenia,2017,Tourist/visitor arrivals (thousands),TF,,"1,495",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
51,Armenia,1995,Tourism expenditure (millions of US dollars),,,14,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
51,Armenia,2005,Tourism expenditure (millions of US dollars),,,243,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
51,Armenia,2010,Tourism expenditure (millions of US dollars),,,694,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
51,Armenia,2015,Tourism expenditure (millions of US dollars),,,956,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
51,Armenia,2016,Tourism expenditure (millions of US dollars),,,988,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
51,Armenia,2017,Tourism expenditure (millions of US dollars),,,"1,140",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
533,Aruba,1995,Tourist/visitor arrivals (thousands),TF,,619,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
533,Aruba,2005,Tourist/visitor arrivals (thousands),TF,,733,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
533,Aruba,2010,Tourist/visitor arrivals (thousands),TF,,824,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
533,Aruba,2015,Tourist/visitor arrivals (thousands),TF,,"1,225",Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
533,Aruba,2016,Tourist/visitor arrivals (thousands),TF,,"1,102",Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
533,Aruba,2017,Tourist/visitor arrivals (thousands),TF,,"1,071",Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
533,Aruba,1995,Tourism expenditure (millions of US dollars),,,554,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
533,Aruba,2005,Tourism expenditure (millions of US dollars),,,"1,097",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
533,Aruba,2010,Tourism expenditure (millions of US dollars),,,"1,254",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
533,Aruba,2015,Tourism expenditure (millions of US dollars),,,"1,664",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
533,Aruba,2016,Tourism expenditure (millions of US dollars),,,"1,632",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
533,Aruba,2017,Tourism expenditure (millions of US dollars),,,"1,733",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
36,Australia,1995,Tourist/visitor arrivals (thousands),VF,,"3,726",Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
36,Australia,2005,Tourist/visitor arrivals (thousands),VF,,"5,499",Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
36,Australia,2010,Tourist/visitor arrivals (thousands),VF,,"5,790",Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
36,Australia,2015,Tourist/visitor arrivals (thousands),VF,,"7,450",Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
36,Australia,2016,Tourist/visitor arrivals (thousands),VF,,"8,269",Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
36,Australia,2017,Tourist/visitor arrivals (thousands),VF,,"8,815",Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
36,Australia,1995,Tourism expenditure (millions of US dollars),,,"10,370",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
36,Australia,2005,Tourism expenditure (millions of US dollars),,,"19,719",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
36,Australia,2010,Tourism expenditure (millions of US dollars),,,"31,064",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
36,Australia,2015,Tourism expenditure (millions of US dollars),,,"30,872",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
36,Australia,2016,Tourism expenditure (millions of US dollars),,,"36,786",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
36,Australia,2017,Tourism expenditure (millions of US dollars),,,"43,982",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
40,Austria,1995,Tourist/visitor arrivals (thousands),TCE,,"17,173",Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
40,Austria,2005,Tourist/visitor arrivals (thousands),TCE,,"19,952",Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
40,Austria,2010,Tourist/visitor arrivals (thousands),TCE,,"22,004",Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
40,Austria,2015,Tourist/visitor arrivals (thousands),TCE,,"26,728",Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
40,Austria,2016,Tourist/visitor arrivals (thousands),TCE,,"28,121",Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
40,Austria,2017,Tourist/visitor arrivals (thousands),TCE,,"29,460",Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
40,Austria,1995,Tourism expenditure (millions of US dollars),,,"13,435",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
40,Austria,2005,Tourism expenditure (millions of US dollars),,,"16,243",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
40,Austria,2010,Tourism expenditure (millions of US dollars),,,"18,758",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
40,Austria,2015,Tourism expenditure (millions of US dollars),,,"20,416",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
40,Austria,2016,Tourism expenditure (millions of US dollars),,,"20,971",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
40,Austria,2017,Tourism expenditure (millions of US dollars),,,"22,408",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
31,Azerbaijan,2005,Tourist/visitor arrivals (thousands),TF,,693,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
31,Azerbaijan,2010,Tourist/visitor arrivals (thousands),TF,,"1,280",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
31,Azerbaijan,2015,Tourist/visitor arrivals (thousands),TF,,"1,922",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
31,Azerbaijan,2016,Tourist/visitor arrivals (thousands),TF,,"2,044",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
31,Azerbaijan,2017,Tourist/visitor arrivals (thousands),TF,,"2,454",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
31,Azerbaijan,1995,Tourism expenditure (millions of US dollars),,,87,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
31,Azerbaijan,2005,Tourism expenditure (millions of US dollars),,,100,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
31,Azerbaijan,2010,Tourism expenditure (millions of US dollars),,,792,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
31,Azerbaijan,2015,Tourism expenditure (millions of US dollars),,,"2,535",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
31,Azerbaijan,2016,Tourism expenditure (millions of US dollars),,,"2,855",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
31,Azerbaijan,2017,Tourism expenditure (millions of US dollars),,,"3,214",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
44,Bahamas,1995,Tourist/visitor arrivals (thousands),TF,,"1,598",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
44,Bahamas,2005,Tourist/visitor arrivals (thousands),TF,,"1,608",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
44,Bahamas,2010,Tourist/visitor arrivals (thousands),TF,,"1,370",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
44,Bahamas,2015,Tourist/visitor arrivals (thousands),TF,,"1,484",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
44,Bahamas,2016,Tourist/visitor arrivals (thousands),TF,,"1,499",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
44,Bahamas,2017,Tourist/visitor arrivals (thousands),TF,,"1,439",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
44,Bahamas,1995,Tourism expenditure (millions of US dollars),,,"1,356",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
44,Bahamas,2005,Tourism expenditure (millions of US dollars),,,"2,081",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
44,Bahamas,2010,Tourism expenditure (millions of US dollars),,,"2,159",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
44,Bahamas,2015,Tourism expenditure (millions of US dollars),,,"2,554",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
44,Bahamas,2016,Tourism expenditure (millions of US dollars),,,"2,608",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
44,Bahamas,2017,Tourism expenditure (millions of US dollars),,,"2,598",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
48,Bahrain,1995,Tourist/visitor arrivals (thousands),VF,,"2,311",Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
48,Bahrain,2005,Tourist/visitor arrivals (thousands),VF,,"6,313",Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
48,Bahrain,2010,Tourist/visitor arrivals (thousands),VF,,"11,952",Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
48,Bahrain,2015,Tourist/visitor arrivals (thousands),VF,,"9,670",Break in the time series.;Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
48,Bahrain,2016,Tourist/visitor arrivals (thousands),VF,,"10,158",Break in the time series.;Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
48,Bahrain,2017,Tourist/visitor arrivals (thousands),VF,,"11,370",Break in the time series.;Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
