T09,Public expenditure on education,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
28,Antigua and Barbuda,2009,Expenditure by level of education: tertiary (as % of government expenditure),7.3531,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
28,Antigua and Barbuda,2009,Public expenditure on education (% of government expenditure),6.9281,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
28,Antigua and Barbuda,2009,Public expenditure on education (% of GDP),2.5172,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2004,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.5804,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2004,All staff compensation as % of total expenditure in public institutions (%),87.5775,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2004,Capital expenditure as % of total expenditure in public institutions (%),0.8422,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2004,Expenditure by level of education: pre-primary (as % of government expenditure),8.3006,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2004,Expenditure by level of education: primary (as % of government expenditure),36.6955,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2004,Expenditure by level of education: secondary (as % of government expenditure),37.7991,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2004,Expenditure by level of education: tertiary (as % of government expenditure),17.2048,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2004,Public expenditure on education (% of government expenditure),15.1405,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2004,Public expenditure on education (% of GDP),3.4865,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2005,Expenditure by level of education: pre-primary (as % of government expenditure),7.8752,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2005,Expenditure by level of education: primary (as % of government expenditure),34.1957,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2005,Expenditure by level of education: secondary (as % of government expenditure),41.6871,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2005,Expenditure by level of education: tertiary (as % of government expenditure),16.2420,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2005,Public expenditure on education (% of government expenditure),15.8082,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2005,Public expenditure on education (% of GDP),3.8600,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.9087,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2010,All staff compensation as % of total expenditure in public institutions (%),85.8718,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2010,Capital expenditure as % of total expenditure in public institutions (%),4.2195,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
