T22,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
28,Antigua and Barbuda,2017,Major trading partner 2 (% of imports),Undisclosed,,14.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
28,Antigua and Barbuda,2005,Major trading partner 3 (% of exports),Spain,,0.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
28,Antigua and Barbuda,2010,Major trading partner 3 (% of exports),Spain,,0.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
28,Antigua and Barbuda,2017,Major trading partner 3 (% of exports),Spain,,12.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
28,Antigua and Barbuda,2005,Major trading partner 3 (% of imports),Japan,,2.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
28,Antigua and Barbuda,2010,Major trading partner 3 (% of imports),Japan,,2.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
28,Antigua and Barbuda,2017,Major trading partner 3 (% of imports),Japan,,4.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
32,Argentina,2005,Major trading partner 1 (% of exports),Brazil,,15.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
32,Argentina,2010,Major trading partner 1 (% of exports),Brazil,,21.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
32,Argentina,2017,Major trading partner 1 (% of exports),Brazil,,15.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
32,Argentina,2005,Major trading partner 1 (% of imports),Brazil,,37.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
32,Argentina,2010,Major trading partner 1 (% of imports),Brazil,,32.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
32,Argentina,2017,Major trading partner 1 (% of imports),Brazil,,26.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
32,Argentina,2005,Major trading partner 2 (% of exports),United States,,12.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
32,Argentina,2010,Major trading partner 2 (% of exports),United States,,5.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
32,Argentina,2017,Major trading partner 2 (% of exports),United States,,7.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
