T15,Balance of payments summary,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
533,Aruba,2015,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
533,Aruba,2016,Balance of Payments: Capital account (millions of US dollars),8,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
533,Aruba,1995,Balance of Payments: Financial account (millions of US dollars),1,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
533,Aruba,2005,Balance of Payments: Financial account (millions of US dollars),148,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
533,Aruba,2010,Balance of Payments: Financial account (millions of US dollars),-446,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
533,Aruba,2015,Balance of Payments: Financial account (millions of US dollars),112,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
533,Aruba,2016,Balance of Payments: Financial account (millions of US dollars),133,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
36,Australia,1995,Balance of Payments: Current account (millions of US dollars),"-18,669",Break in the time series.,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
36,Australia,2005,Balance of Payments: Current account (millions of US dollars),"-43,343",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
36,Australia,2010,Balance of Payments: Current account (millions of US dollars),"-44,714",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
36,Australia,2015,Balance of Payments: Current account (millions of US dollars),"-58,065",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
